01:1
02:1
03:1
04:1
05:1
06:1
07:1
08:1
09:1
B01:1
B02:1
B03:1
B04:1
B05:1
B06:1
B07:1
B08:1
B09:1
C1:1
C10:1
C2:1
C25:1
C26:1
C27:1
C28:1
C29:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D:1
D1:1
D2:1
DOWN:1
FB1:1
J1:1
J2:1
L:1
LEFT:1
R:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
REF**:18
RIGHT:1
SE:1
SELECT:1
ST:1
START:1
SW16:1
U:1
U1:1
U2:1
U3:1
UP:1
Y1:1
